x1,x2,x3,x4a,x4b,x5,x6,x7,x8,x9a,x9b,x10,x11,x12,x13,x15,x16,x17,x18,Exposure,y
64,1,27,1,0,3.515332768,146,29,0,0,0,9.86,73,53,62,1,1,1,0,-1.746045827,0
64,0,18,0,0,4.585707786,301,108,1,0,1,8.25,53,45,53,1,0,0,1,-1.180742374,0
75,0,30,1,1,7.84328588,124,241,0,0,0,13.4,71,60,45,1,0,1,1,-0.620413652,1
70,0,13,1,0,2.643796968,49,38,0,0,0,27.46,45,48,59,0,1,1,1,-1.153965783,0
63,0,16,1,0,3.354773074,48,37,0,0,0,47.69,63,49,52,0,1,1,0,-1.128801574,0
47,1,14,1,0,4.98591454,62,0,1,1,0,18.11,40,55,50,0,0,0,0,0.335448032,0
63,0,23,1,1,10.46081751,10,0,1,0,0,12.63,65,70,46,1,1,0,1,-0.241047435,1
42,1,15,0,0,3.739531565,66,51,0,0,0,12.89,51,58,58,1,1,1,1,4.305448023,1
53,0,20,0,0,4.854334635,125,113,0,0,0,14.93,54,50,73,1,0,1,1,-0.019447884,1
39,1,27,1,1,5.965563757,7,3,0,0,0,15.08,46,67,64,1,1,1,1,1.330444358,1
70,0,27,1,1,6.238285865,33,63,1,0,0,25.55,35,57,55,0,1,1,1,3.400527616,0
59,1,13,1,0,4.198258349,111,10,0,0,1,30.94,65,41,50,0,0,0,0,-0.021976045,0
40,1,14,1,0,2.527594273,73,73,0,0,0,6.31,59,57,61,0,1,1,1,1.190939974,0
49,1,20,1,1,5.339498106,0,7,0,0,0,22.7,51,59,62,0,0,1,0,0.757650667,0
48,1,7,1,0,3.170017654,67,132,0,1,0,21.65,48,51,54,1,0,1,0,2.406673006,0
40,1,14,1,0,5.263123235,142,11,0,0,0,20.51,60,57,49,0,1,0,0,-0.545671235,0
54,1,9,1,1,4.912048631,10,4,1,0,1,29.43,59,60,52,0,0,1,0,0.059198099,0
71,0,19,1,1,2.906460153,49,146,0,0,0,15.2,56,50,50,0,1,1,1,2.033598416,0
47,1,11,1,0,2.30437772,765,169,1,0,1,8.4,67,55,60,0,0,0,0,0.242098321,0
56,1,10,1,0,1.527606169,796,71,1,0,1,16.99,54,55,40,1,0,1,0,0.12746006,0
56,1,15,1,0,4.295991915,44,67,1,0,0,7.73,48,51,60,0,1,1,1,0.092264923,0
43,1,15,1,0,5.307057061,79,116,1,0,0,31.02,61,62,74,0,1,1,1,-1.217229548,1
56,1,21,0,0,2.121258493,621,555,1,1,0,3.9,49,37,55,1,1,1,1,0.02571806,1
52,1,11,1,0,1.369539091,127,11,1,1,0,18.64,36,41,48,0,0,1,1,-0.253207189,0
62,0,11,1,0,4.191208687,35,34,0,0,0,15.08,42,58,44,0,1,0,0,3.918428724,0
53,1,21,1,0,3.609631704,6,5,1,1,0,26.76,34,40,55,0,0,0,0,3.349758283,0
47,1,13,1,0,3.607392698,175,44,0,1,0,25.09,65,42,41,1,1,0,1,0.906321882,0
51,1,23,1,0,5.223247825,1,79,1,0,0,21.55,35,56,42,0,0,0,0,-2.062050384,0
56,1,10,1,0,4.235431996,86,128,0,1,0,28.74,53,59,28,0,0,0,0,-1.344000466,1
69,0,14,1,0,1.233313374,461,219,1,1,0,29.38,64,43,59,1,0,0,0,1.163233583,0
38,1,26,1,1,11.02784591,61,75,1,0,0,20.32,54,77,55,1,0,0,0,-0.554487219,0
57,1,14,1,0,6.208369777,66,50,0,0,0,23.5,50,59,63,1,0,1,1,3.640548569,0
58,1,23,1,0,6.69628661,10,72,1,0,0,6.61,47,57,50,0,1,1,1,-1.417340144,0
63,0,15,1,1,6.451418855,0,11,1,0,0,16.98,48,37,47,1,1,1,1,4.914782166,0
47,1,13,1,1,6.999718541,0,35,1,1,0,3.84,44,64,59,1,1,0,1,-0.127970941,0
57,0,11,1,0,2.791242627,148,118,0,0,0,30.03,52,58,58,0,1,1,1,2.846975331,1
54,1,36,1,1,8.631994881,31,22,1,1,0,5.77,48,54,61,1,1,1,1,4.406342678,0
57,1,24,1,1,4.652308344,23,5,0,0,0,21.12,47,58,73,0,0,1,1,2.92389006,0
64,1,34,1,0,12.58919622,13,118,0,0,0,27.19,53,59,56,0,1,1,0,0.435594878,0
58,0,24,1,0,4.053579536,150,139,1,0,0,41.25,66,54,63,1,1,1,1,-0.141747562,0
60,0,16,1,0,4.343476467,334,162,0,1,0,4.27,50,64,52,1,1,1,1,-0.549677972,0
46,1,32,1,0,6.416663918,186,109,1,0,0,10.42,69,68,56,0,0,0,1,-0.500070713,0
49,1,41,1,0,8.86581821,18,190,0,0,0,5.59,56,66,65,1,0,1,0,-0.681851256,0
64,0,28,1,0,3.283148828,14,7,0,0,0,22.21,38,57,49,1,0,0,0,0.159133561,0
51,0,21,1,0,3.592303877,234,134,1,0,0,47.23,57,43,64,0,0,1,1,0.777098177,0
44,1,27,1,1,7.065848831,15,106,0,0,0,10,61,54,45,1,1,0,1,1.018336403,1
55,1,7,1,0,2.411696171,319,62,0,1,0,6.31,71,57,53,0,1,1,1,0.320558898,1
38,1,57,1,1,5.155595308,31,0,1,0,0,13.26,58,53,55,1,0,0,1,0.19146747,0
54,1,21,0,0,7.089375649,827,619,1,1,0,11.71,68,67,56,1,0,1,0,-0.218150879,1
61,1,24,0,0,5.954438911,196,44,0,0,0,12.41,60,64,41,0,0,0,1,-0.195175327,0
68,1,13,1,0,7.743328749,81,367,1,0,1,12.5,50,84,53,0,1,1,1,-0.815620288,0
35,1,20,1,1,1.8624857,119,46,1,0,0,32.79,62,55,39,1,0,1,1,0.488104298,0
73,0,16,1,0,3.952782208,652,108,1,0,1,16.17,67,59,46,0,1,1,1,1.163406402,0
54,1,20,1,1,4.442787785,40,82,1,1,0,8.72,56,45,53,0,0,0,0,-0.984235869,1
63,0,30,1,1,8.817476855,68,22,1,0,0,29.47,60,59,62,0,1,1,0,1.305452869,0
44,1,19,1,0,4.872098253,37,76,0,0,0,16.19,55,58,63,0,1,1,1,-0.254345896,0
69,0,18,1,1,2.472848332,378,265,1,0,1,23.25,62,41,44,0,1,1,1,0.29006809,0
58,1,8,1,1,3.191916462,13,50,0,1,0,7.72,54,48,55,1,0,0,0,1.443424868,0
49,1,21,1,0,7.871876846,8,711,1,0,0,32.13,43,48,35,0,1,1,1,4.389157659,0
61,1,18,1,0,3.697735618,40,6,1,1,0,20.72,56,45,50,1,1,1,1,-0.068024479,0
68,0,10,1,0,2.213452877,406,188,0,1,0,8.96,56,43,50,1,1,1,1,-1.566640131,0
62,0,27,1,1,5.189039905,54,112,0,0,0,22.47,60,55,66,0,1,1,1,-1.831482818,0
53,0,12,1,0,3.049888889,118,32,0,0,0,13.32,54,55,56,0,1,1,0,-0.226342067,0
55,1,29,1,0,6.23611898,35,49,0,0,0,13.07,57,54,48,0,1,1,1,-0.968369523,0
48,1,20,1,0,3.912263205,94,48,1,0,0,17.35,58,49,40,1,0,0,1,1.347925876,1
64,0,18,1,0,4.082892235,55,8,1,0,0,22.86,61,56,54,0,0,0,0,0.291615191,0
70,0,23,1,0,4.901380312,91,164,1,1,0,27.68,41,47,63,0,0,0,0,-1.353796302,0
70,0,22,1,0,2.834026665,202,20,0,0,0,7.8,55,63,47,1,0,1,1,4.652749458,0
60,0,19,1,0,5.370834687,4,47,0,0,0,4.47,49,62,53,1,0,0,1,0.221830502,0
62,1,30,1,0,8.875032539,188,89,0,1,0,13.93,57,66,54,1,1,1,1,0.207752266,0
50,1,15,1,0,3.319317174,38,61,0,0,0,10.44,44,61,46,0,0,0,0,-0.509748751,0
36,1,30,1,0,6.167293518,245,160,0,0,0,8.49,62,60,63,1,1,1,1,3.793386575,0
64,0,50,1,0,15.0475501,49,39,0,0,0,8.77,58,58,56,0,0,0,0,1.58286777,0
60,0,11,1,0,6.022507262,0,73,1,0,0,8.13,45,56,62,0,1,1,0,-0.043192823,0
58,1,28,1,0,4.810422495,192,69,0,0,0,34.54,71,40,66,0,1,1,0,-0.604137659,1
74,0,30,1,1,5.080358125,0,0,0,0,0,23.86,58,51,66,1,0,0,0,-0.84476373,0
60,1,8,0,0,2.212787546,414,23,0,1,0,5.16,74,46,55,0,1,0,0,0.239726079,0
70,0,37,1,0,9.834860947,88,151,0,0,0,42.61,57,60,41,0,1,1,1,-1.084286733,0
51,1,21,1,0,3.81763576,121,24,1,1,0,15.27,47,53,45,1,0,1,1,0.670167838,0
58,0,25,1,1,3.33318535,144,41,0,0,0,5.69,62,53,62,1,1,1,1,-0.692486053,0
50,1,16,1,0,5.957833161,94,178,0,0,0,12.26,66,61,45,0,0,0,0,0.55159072,1
64,1,26,1,0,3.861675728,240,70,1,1,0,7.5,61,56,75,0,1,1,1,-0.493641129,0
77,0,13,0,0,9.255489628,260,115,0,1,0,18.51,60,65,53,1,1,1,1,-0.168458477,0
53,1,19,1,1,2.104276747,48,6,1,1,0,15.75,36,43,49,1,0,0,0,-0.424410506,0
61,0,25,1,1,8.807945289,14,24,0,0,0,19.73,47,53,65,0,1,1,1,0.098790629,0
65,0,15,1,0,2.02130634,191,152,0,0,0,20.58,60,50,32,0,0,1,0,0.43512029,0
72,0,10,0,0,2.495701578,634,421,1,0,1,7.02,68,48,61,1,1,1,1,-1.870985558,0
47,1,19,1,0,13.1427788,9,74,0,0,0,8.61,49,64,55,0,1,1,1,3.597121262,0
47,1,14,1,0,2.9445503,141,110,0,0,0,12.96,51,49,56,1,0,0,0,1.500287583,0
56,1,18,1,0,4.614057679,66,235,0,1,0,10.96,63,39,52,1,1,1,1,0.409747911,0
43,1,28,1,0,3.67020425,29,79,0,0,0,11.86,60,44,45,0,1,1,1,1.192301401,0
62,1,31,0,0,5.210917104,565,100,0,0,0,10.91,83,49,53,0,1,1,1,0.511277065,0
55,1,6,1,0,4.3079014,36,174,0,1,0,35.42,55,58,57,1,1,1,1,1.995898091,1
63,1,24,1,0,4.437442721,224,516,1,1,0,5.03,57,47,57,1,0,1,1,-0.712056205,0
39,1,20,1,0,4.846267499,235,70,0,0,0,15.93,54,71,50,0,0,0,0,0.961625403,0
71,0,26,1,1,14.55392458,0,15,0,0,0,12.77,53,64,44,1,1,1,0,0.524120717,0
37,1,34,1,0,6.556757779,86,169,1,0,0,24.5,48,66,52,0,1,0,0,0.895511586,0
50,1,17,1,0,3.097953088,192,79,0,1,0,14.56,61,42,56,0,1,1,1,-2.864804017,0
60,1,23,1,1,6.060128634,10,70,0,0,0,24.21,46,56,49,0,1,1,0,2.57577882,0
63,0,19,1,0,2.398907512,83,19,0,0,0,18.84,54,46,56,0,0,1,0,1.17549176,0
62,0,39,1,1,3.831325981,51,41,0,0,0,18.55,53,48,42,1,1,1,0,1.644972024,0
47,1,18,1,1,2.991499082,9,0,1,0,0,13.74,51,53,57,1,0,1,1,0.574549406,0
54,1,22,1,0,4.366153991,12,0,1,0,0,4.13,47,54,69,0,0,0,1,-1.504409562,0
58,1,23,1,1,12.51668791,0,8,0,1,0,13.06,46,56,71,0,0,0,1,-1.843886577,0
68,1,24,1,0,1.32820114,27,0,0,0,0,16.42,36,38,45,1,1,1,1,0.554444532,0
65,0,23,1,0,6.506917544,154,86,0,0,0,21.29,54,64,53,1,0,0,0,2.26080743,0
42,1,20,1,0,8.66065225,0,13,1,0,0,12.12,34,49,45,1,0,1,1,5.457140797,0
53,1,24,1,1,6.674919819,52,69,0,0,0,19.63,59,62,63,1,0,1,1,-1.663186984,0
34,1,32,1,1,12.5825627,25,39,0,0,0,4.54,56,66,42,1,0,1,1,1.233387714,0
54,1,33,1,1,2.14490486,52,84,0,0,0,17.58,56,46,68,0,1,1,1,0.797831151,0
47,1,14,1,0,5.062726064,38,98,0,0,0,12.97,51,57,55,0,1,1,1,4.616023652,0
44,1,16,1,0,5.290769698,775,111,0,1,0,10.69,74,71,67,0,0,0,1,-0.27548899,1
59,1,18,1,1,7.097851844,5,0,0,0,0,13.99,47,73,67,0,1,1,1,4.706142052,0
50,1,13,1,0,5.051222971,20,110,0,0,0,19,43,64,51,0,0,0,0,3.435295764,0
57,1,13,1,0,7.821438411,1,83,1,0,0,20.97,48,68,43,1,0,0,1,-0.053533831,0
50,1,14,0,0,4.696510946,122,156,0,0,0,8.75,61,44,48,1,1,1,1,1.570715972,0
42,1,19,1,1,4.892923963,17,64,0,1,0,11.74,55,49,67,1,1,1,0,-1.937721391,0
65,1,20,1,0,6.941698031,71,93,0,1,0,16.12,61,50,74,0,1,1,1,-0.924723338,0
49,1,52,0,0,9.62982101,114,93,1,0,0,39.83,42,56,44,1,1,1,1,0.436161851,1
52,1,22,1,0,10.06772278,45,81,0,0,0,7.76,62,61,52,1,1,1,1,-0.660171084,0
63,1,31,1,0,6.264885355,53,84,0,0,0,19.02,52,57,62,1,1,1,1,0.11724926,1
61,1,39,1,0,8.003355117,124,2,1,1,0,9.47,57,63,42,0,1,1,0,-1.003130247,0
48,1,7,0,0,5.290160238,23,48,0,0,0,11.82,42,62,52,1,0,1,1,4.64543514,1
43,1,9,1,1,14.9371807,80,256,0,1,0,11.12,69,81,57,1,0,0,0,-2.59687593,0
52,1,44,0,0,12.79612382,51,61,0,0,0,24.93,37,62,54,0,0,0,0,0.984347639,0
77,1,15,1,0,4.771167872,341,141,0,0,1,11.09,64,59,42,1,1,1,1,1.093463398,0
65,0,15,1,0,5.730855655,45,26,0,0,0,12.55,59,71,56,0,1,1,1,-0.473759108,0
58,1,19,1,0,6.517641002,851,269,1,0,1,14.15,58,69,50,0,0,0,0,-1.073349714,0
56,0,24,1,0,2.794289654,209,44,1,0,0,6.45,58,41,49,0,0,0,0,-1.950813596,1
37,1,10,0,0,3.897571096,222,67,0,0,0,9.62,56,63,63,0,0,0,1,-2.088074682,0
56,1,20,1,1,4.759426022,51,115,0,0,0,19.7,56,60,66,1,1,1,1,1.366823568,0
66,0,19,1,1,3.488202109,12,7,0,0,0,16.23,65,55,69,1,1,1,1,-0.8021885,0
53,1,19,1,0,3.464743637,140,100,0,0,0,21.23,52,49,64,1,0,1,0,2.190907929,1
56,1,24,1,0,3.598358797,81,114,1,0,0,9.01,62,50,68,1,0,0,1,1.409738154,0
54,1,28,0,0,2.314189352,333,179,0,0,0,25.46,58,55,52,1,0,0,0,-1.058451563,0
61,0,33,1,0,7.019247626,50,205,0,0,0,17.49,48,56,40,1,1,1,1,-0.598809263,0
52,1,27,0,0,3.599845864,219,650,0,0,0,23.58,39,55,59,0,0,0,1,0.475716115,1
33,1,13,1,0,7.103298077,125,35,0,1,0,9.05,52,70,70,1,1,1,1,0.183638949,0
49,0,18,0,0,8.148836142,76,532,0,0,0,30.35,65,70,45,0,1,1,1,-1.585528867,1
60,1,9,1,0,3.963339514,209,22,0,1,0,7.43,72,76,51,0,1,1,1,-1.638312429,0
59,0,47,1,0,3.805177695,45,137,0,0,0,9.69,46,51,46,1,0,1,0,-0.08876736,0
63,1,11,1,0,1.857706182,35,56,0,0,0,41.15,66,26,49,1,0,1,0,1.561077767,1
50,1,16,1,1,2.221809053,25,19,1,1,0,7.47,44,47,54,1,1,1,1,1.564631661,0
61,1,33,1,0,10.51373938,10,0,1,0,0,4.3,60,62,59,0,1,1,0,0.187384381,0
60,1,31,1,0,4.724482469,106,85,0,0,0,27.51,52,59,63,0,1,1,0,-1.283353974,0
46,1,25,1,0,7.177268246,102,70,1,1,0,17.27,54,49,57,0,0,0,0,-0.130742422,0
51,1,30,1,1,2.490858545,661,193,1,1,0,14.34,68,55,64,1,1,1,1,0.501355126,1
66,0,21,1,0,8.879550489,97,49,0,1,0,6.05,55,59,59,0,0,0,0,-1.03721864,0
49,1,29,1,1,10.97129934,14,36,0,0,0,14.49,41,54,50,1,1,0,1,3.806791803,0
70,0,29,1,1,6.057632219,53,87,1,0,0,13.03,60,65,56,0,1,1,1,-1.762652233,0
50,1,17,1,0,4.405651946,896.5,431,0,0,0,44.24,67,79,57,1,0,1,0,-0.995798225,1
37,1,12,1,1,5.333039434,0,0,0,0,0,8.29,53,52,55,0,0,1,1,0.217075651,0
34,1,17,1,1,3.703141558,19,23,0,0,0,17.18,71,43,57,1,0,0,1,0.058704826,0
61,1,13,1,0,5.766139173,269,125,1,0,1,6.4,53,74,65,0,1,0,0,-1.240941711,0
52,1,25,1,0,4.668067759,47,120,0,0,0,13.63,59,58,58,1,1,1,1,0.979237673,0
49,1,36,1,0,4.539516192,119,56,0,0,0,14.45,65,58,58,1,1,1,1,2.295805748,0
68,0,13,1,0,1.823309836,257,40,0,0,1,19.06,47,48,38,1,1,1,1,3.702292056,1
45,1,23,1,0,4.457697072,157,37,0,1,0,6.73,50,60,74,0,0,0,0,0.497215076,1
51,1,10,1,0,4.442627757,104,71,0,0,0,9.83,70,57,48,0,0,1,1,-0.073370744,0
46,1,11,1,0,2.707927731,76,0,1,0,0,21.04,64,55,43,1,1,1,1,-2.770554522,0
66,0,21,1,0,3.278510713,62,163,1,0,0,23.24,50,50,53,1,1,1,1,-0.622752784,0
42,1,30,1,0,4.090780827,237,24,0,1,0,9.66,48,49,51,1,0,1,0,0.817932645,1
53,1,11,1,0,2.847819392,572,217,0,1,0,15.76,63,51,59,0,0,0,0,-1.059987006,0
68,0,8,1,1,3.537826826,26,19,0,1,0,28.7,53,67,64,1,1,1,1,-0.590749506,0
47,1,25,1,0,7.32676558,69,31,1,0,0,19.07,63,50,57,1,1,1,1,-1.413642632,0
57,1,13,1,1,3.670324394,31,0,0,0,0,18.2,58,70,63,0,0,0,1,-0.770949819,0
49,1,23,1,0,3.680766245,73,35,1,1,0,19.11,55,45,35,1,1,1,1,0.323631301,0
58,1,14,1,0,9.51608443,13,0,1,1,0,6.1,40,72,62,0,0,1,0,-1.527354364,0
59,0,13,1,1,4.347343408,20,204,0,0,0,6.53,55,56,68,0,1,1,1,1.714129011,0
47,1,12,1,0,2.928716869,896.5,651,0,1,0,9.21,72,56,50,0,1,1,1,0.337416311,1
51,1,11,1,1,5.016457709,0,0,0,0,0,24.06,41,60,70,1,1,1,1,2.943959242,0
64,0,27,1,0,3.617077834,0,0,1,0,0,14.31,22,52,50,1,1,1,1,3.988656904,0
51,1,12,1,0,5.30896134,22,27,1,1,0,39.15,44,59,52,1,0,0,0,-0.365824725,0
49,1,30,1,0,4.842091385,95,67,1,0,0,24.31,51,61,49,0,1,1,1,-1.276233737,0
38,1,20,1,1,6.210305313,59,292,0,0,0,9.19,75,42,49,1,0,1,1,-0.536577405,0
49,1,27,0,0,4.241257859,717,83,0,0,0,19.44,67,66,50,0,0,0,1,-0.561225639,1
75,0,21,1,0,7.267992183,206,375,0,0,0,22.31,58,56,57,0,0,1,1,-0.941860255,0
52,1,13,1,0,2.780148243,11,8,0,0,0,31.99,56,43,53,0,1,1,1,4.846315623,1
52,1,21,1,0,2.687480625,136,149,0,0,0,12.16,60,45,50,0,1,1,1,-0.172257584,0
46,1,13,1,0,2.970277689,0,10,1,0,0,15.2,32,56,46,1,1,1,1,3.691680512,1
43,1,18,1,0,5.100692485,93,55,0,0,0,29.68,53,62,63,0,0,0,1,-0.119316199,0
50,1,39,1,0,3.809542121,237,156,0,0,0,5.92,68,56,52,1,1,1,1,-0.39043757,0
59,1,18,1,0,14.69907779,0,103,0,0,1,24.12,44,59,52,1,0,1,0,4.000437966,0
52,1,24,1,0,4.096096513,67,61,0,0,0,10.34,44,66,62,0,0,1,0,0.587057546,0
56,1,32,0,0,6.87792189,336,314,0,0,0,18.31,59,69,79,0,1,1,1,-0.936813207,1
52,1,20,1,0,8.171576316,0,136,1,0,0,15.76,38,66,54,1,0,1,0,0.402741293,0
74,0,21,1,1,2.18582947,111,30,0,1,0,6.97,54,44,38,0,1,1,1,-0.421323899,0
65,1,36,1,1,4.609304341,9,4,1,0,0,21.28,50,58,35,0,1,1,1,2.276003424,0
54,0,23,1,0,4.070178586,24,75,0,0,0,21.26,37,59,37,1,0,0,0,-0.754023387,0
54,1,13,1,1,3.802272608,21,15,0,0,0,34.83,57,67,54,1,1,1,0,2.482336109,0
60,1,17,1,1,11.33254165,66,456,0,0,1,17.16,53,71,61,1,1,1,1,-1.546795161,0
61,0,24,1,0,3.1671819,76,43,1,0,0,16.01,52,38,50,1,0,0,0,4.385685419,0
52,1,8,1,0,2.486364098,0,14,1,0,0,23.91,37,41,73,1,1,1,1,4.393522797,0
55,1,15,1,0,7.886915659,180,655,0,1,0,20.14,68,67,57,1,0,0,0,-1.196827766,1
44,1,22,1,0,7.314987462,60,54,1,0,0,21.12,47,62,62,0,1,1,1,2.104481847,0
69,1,16,1,0,4.138576861,52,28,0,1,0,27.81,61,56,59,0,1,1,1,-0.657297474,0
54,1,15,1,1,1.468905681,125,4,0,0,0,12.82,62,45,53,1,1,1,1,-0.285484258,0
